한글,영어,일어
버금살창 자기화,sublattice magnetization, 部分格子磁化(副格子磁化)
버금준위,sublevel,
승화,sublimation, 昇 華
승화곡선,sublimation curve,
승화펌프,sublimation pump, サブリメ?ションポンプ
버금선형용수철,sublinear spring,
초현미경적,submicroscopic,
초밀리미터파동,submillimeter wave,
부분환,subring,
부분수열,subsequence,
"부분모임, 부분집합",subset,
버금껍질,subshell,
"딸린조건, 부수조건",subsidiary condition,
아음속,subsonic, 亞音速
부분공간,subspace,
"바꿔놓기, 치환",substitution,
치환방법,substitution method, 置換法
치환반응,substitution reaction,
치환감도인자,substitution sensitivity factor, 置換感度係數
치환고용체,substitutional solid solution, 置換型固溶體
기판,substrate, (1)基 板 (2)基 質
"대변, 맞변",subtense,
빼기흐름길,subtracting circuit, 減算回路
소단위,subunit,
잇단 어림법,successive approximation, 遂次近似法
잇단 붕괴,successive decay,
연차도함수,successive derivative,
잇단 상전이,successive phase transition, 逐次相轉移
"감압펌프, 빨펌프",suction pump,
흡인 고온계,suction pyrometer, 吸引型高溫計
순간 어림법,sudden approximation, 瞬間近似
충분조건,sufficient condition,
설 효과,Suhl effect, ス?ル ?果
합 떨기수 생성,sum frequency generation, 和周波發生
합 규칙,sum rule, (1)和 則 (2)總和則
"피가수, 합할수",summand,
합 규약,summation convention,
하지,summer solstice,
더하기흐름길,summing circuit, 加算回路
"태양, 해",sun,太陽
"시간, 해시계",sundial time,
햇빛,sunlight, 太陽光
태양흑점,sunspot,太陽黑點
초허용 전이,superallowed transition, 超許容遷移
초은하단,supercluster of galaxies, 超銀河團
"초줄토리, 초코일",supercoil,
"초전도 공동, 초전도캐비티",superconducting cavity, 超傳導空洞
초전도자석,superconducting magnet, 超傳導磁石
초전도현상,superconducting phenomenon, 超傳導現象
초전도 솔레노이드,superconducting solenoid, 超傳導ソレノイド
초전도상태,superconducting state, 超傳導狀態
초전도도선,superconducting wire, 超傳導線材
초전도,superconduction,
초전도 합금재료,superconductive alloy materials, 合金系超傳導材料
초전도화합물,superconductive compound materials, 化合物系超傳導材料
초전도성,superconductivity, 超傳導
초전도매개변수,superconductivity parameter,
초전도체,superconductor, 超傳導體
제일종 초전도체,superconductor of the first kind, 第一種超傳導體
제이종 초전도체,superconductor of the second kind, 第二種超傳導體
과냉각(된),supercooled,
과냉각구름,supercooled cloud,
과냉각액체,supercooled liquid,
과냉각증기,supercooled vapor,
과냉각,supercooling, 過冷却
"초고비, 초임계",supercritical, 超臨界
초고밀도 별,superdense star, 超高密度星
초튐성충돌,superelastic collision,
초바꿈 서로작용,superexchange interaction, 超交換相互作用
초들뜸 상태,superexcited state, 超勵起狀態
"초유체, 초흐름체",superfluid, 超流體
초유체 헬륨,superfluid helium, 超流動ヘリウム
초유동성,superfluidity, 超流動
"초 반디빛, 초형광",superfluorescence, 超螢光
과융해,superfusion, 過融解
초거성,supergiant star, 超巨星
과열액체,superheated liquid,
과열,superheating, 過 熱
초중원소,superheavy element, 超重元素
초중원자핵,superheavy nucleus, 超重核
초중 준원자,superheavy quasiatom, 超重準原子
높은 헤테로다인,superheterodyne, ス?パ?ヘテロダイン
초고주파,superhigh frequency,
초단열,superinsulation, 超斷熱
초이온 도체,superionic conductor, 超イオン導電體
상층 기단,superior air mass,
상극한,superior limit,
초살창,superlattice, 超格子
초살창어긋나기,superlattice dislocation, 超格子轉位
초살창 반사,superlattice reflection, 超格子反射
초살창구조,superlattice structure, 超格子構造
초선형 용수철,superlinear spring,
슈퍼맬로이,supermalloy,
초다시간 이론,super-many-time theory, 超多時間理論
초분자 구조,supermolecular structure, 高次構造【高分子】
"초뭇겹(항), 초여러겹(항)",supermultiplet, 超多重項
"초손님별, 초신성",supernova, 超新星
초신성 폭발,supernova explosion, 超新星爆發
초신성 잔해,supernova remnant, 超新星殘がい
초상자성,superparamagnetism, 超常磁性
초소성,superplasticity, 超塑性
"중첩, 포갬",superposition,
"파동의 중첩, 파동의 포갬",superposition of wave,
"중첩원리, 포갬원리",superposition principle,
"초 내비침, 초복사",superradiance, 超放射
초분해,super-resolution, 超解像
과포화 고용체,supersaturated solid solution, 過飽和固溶體
과포화,supersaturation, 過飽和
초선택규칙,superselection rule, 超選擇則
초집합,superset,
초음속,supersonic,超音速
초음속흐름,supersonic flow,
초음파 노즐,supersonic nozzle, 超音速ノズル
초끈이론,superstring theory, 超弦理論
"초구조, 초(살창)얼개",superstructure,
초대칭(성),supersymmetry, 超對稱性
초약 이론,superweak theory, ス?パ?ウィ?ク理論
보각,supplementary angle,
억제기 게이지,suppressor gauge, サプレッサ?ゲ?ジ
억제 그리드,suppressor grid,
상한,supremum,
표면 소리 파동,surface acoustic wave, 表面彈性波
표면활성제,surface active agent, 表面活性劑
"표면부착, 겉면붙음",surface adhesion,
"표면적, 겉넓이",surface area,
겉 가로막이 검출기,surface barrier detector, 表面障壁型檢出器
"표면끓음, 겉면끊음",surface boiling,
표면 채널링,surface channeling, 表畵チャネリング
표면 분석,surface characterization, 表面分析法
"겉면 전하, 표면전하",surface charge, 〔表]面電荷
표면 화학 빛냄,surface chemical luminescence, 表面化學ルミネセンス
"표면색, 겉면빛깔",surface color,
표면 조건,surface condition, 表面狀態
표면 덮임률,surface coverage, 表面被覆率
"겉면흐름, 표면전류",surface current,
표면밀도,surface density,
표면 퍼짐,surface diffusion, 表面擴散
표면효과,surface effect,
표면 전기전도율,surface electric conductivity, 表面電氣傳導率
"표면요소, 면적요소",surface element,
표면원소 들뜸,surface elementary excitation, 表面素勵起
"표면에너지, 겉면에너지",surface energy, (1)表面エネルギ? (2)界面エネルギ?
표면 강화 라만 홑뜨림,surface enhanced Raman scattering, 表面ラマン散亂
겉면마무리,surface finish, 表面仕上げ
겉불꽃,surface flame,
"표면력, 겉면힘",surface force,
표면자유에너지,surface free energy,
"표면 쓸림힘, 겉면 쓸림힘",surface friction drag,
면적분,surface integral, 面積分
표면 이온화,surface ionization, 表畵電離
"표면층, 겉면켜",surface layer,
표면 준위,surface level, 表面準位
표면 자기,surface magnetism, 表面磁性
일정위상면,surface of constant phase, 定位相面
불연속성의 면,surface of discontinuity, 不連續面
이차면,surface of the second order, 二次曲面
표면 소리알,surface phonon, 表面フォノン
표면 플라즈마,surface plasma, 表面プラズマ
표면플라즈몬,surface plasmon, 表面プラズモン
"겉면퍼텐셜, 표면전위, 표면퍼텐셜",surface potential, 表面ポテンシャル
표면압,surface pressure, 表面壓
표면측정기,surface profiler,
겉반응,surface reaction, 表面反應
표면 재결합,surface recombination, 表面再結合
표면 풀림,surface relaxation, 表面緩和
표면저항,surface resistance, 表面抵抗
표면저항률,surface resistivity,
"표면거칠기, 겉면거칠기",surface roughness, 表面あらさ
표면 갈라놓기,surface segregation, 表面偏析
"표면장력, 겉면켕길힘",surface tension, 表面張力
표면장력법,surface tension method,
겉떨기,surface vibration, 表面振動
"표면파동, 겉면파동",surface wave, 表面波
표면 거둔양,surface yield, 表面收量
계면활성제,surfactant,
충격저항,surge resistance, 波動抵抗
"놀람 분석, 기습분석",surprisal analysis, サプライザル解析
"탐사기, 측량기",survey instrument,
감수도,susceptance, サセプタンス
"감수율, 감수성",susceptibility, (1)感受率 (2)磁化率
"매달림, 현탁액",suspension, 懸濁液
무리 실험,swarm experiment, スオ?ム實驗
막대저울,Swedish balance,
쓸기,sweep,
"쓸기흐름길, 쓸기회로",sweep circuit,
부풀기,swelling, (1)膨 潤【化學】(2)スエリング
수영장형 반응로,swimming pool type reactor,
소용돌이꼴,swirl, スワ?ル
"여닫이, 스윗치",switch, (1)スイッチ (2)開閉器
"자리길바꿈, 궤도변환",switch of orbit,
변환시간,switching time, スイッチング時間
음절조음지수,syllable articulation, 音節明りょう度
삼단논법,syllogism,
기호,symbol,
원소기호,symbol of element, 元素記號
대칭 에너지운동량텐서,symmetric energy-momentum tensor, 對稱エネルギ-運動量テンソル
대칭 핵분열,symmetric fission, 對稱核分裂
"대칭무리, 대칭군",symmetric group, 對稱群
대칭법칙,symmetric law,
대칭행렬,symmetric matrix,
대칭연산자,symmetric operator,
대칭회전준위,symmetric rotational level, 對稱回轉準位
"대칭회전자, 대칭돌개",symmetric rotator,
대칭상태,symmetric state,
대칭텐서,symmetric tensor, 對稱テンソル
대칭팽이,symmetric top, 對稱こま
대칭팽이 분자,symmetric top molecule, 對稱こま形分子
대칭성분,symmetrical component,
대칭분포,symmetrical distribution,
대칭점,symmetrical point,
대칭다면체,symmetrical polyhedron,
대칭화,symmetrization,
대칭 궤도함수,symmetrized orbital, 對稱化軌道
대칭,symmetry, (1)對 稱 (2)對稱性
대칭깨짐,symmetry breakdown, 對稱性の破れ
대칭^요소,symmetry element, 對稱要素【群論】
대칭 군,symmetry group, 對稱群
대칭수,symmetry number,
미끄럼 대칭,symmetry of glide, 映進對稱
반사대칭,symmetry of reflection, 鏡映對稱
회전반전대칭,symmetry of rotatory inversion, 回反對稱
회전반사대칭,symmetry of rotatory reflection, 回映對稱
대칭조작,symmetry operation,
대칭궤도함수,symmetry orbital, 對稱軌道??
대칭 퍼텐셜,symmetry potential, 對稱ポテンシャル
심플렉틱,symplectic,
"심플렉틱 모듬, 심플렉틱 앙상블",symplectic ensemble, 斜交集團
"심플렉틱 무리, 심플렉틱 군",symplectic group, シンプレクティック群
심플렉틱변환,symplectic transformation,
싱크로사이클로트론,synchrocyclotron, シンクロサイクロトロン
"때맞음, 동기화",synchronization, 同期〔化〕
동기화 검출,synchronous detection, 同期檢波
동기리액턴스,synchronous reactance,
동기정류,synchronous rectification, 同期整流
싱크로트론,synchrotron, シンクロトロン
싱크로트론 가속,synchrotron acceleration, シンクロトロン加速
싱크로트론 울림,synchrotron oscillation, シンクロトロン振動
싱크로트론 내비침,synchrotron radiation, シンクロトロン放射放射光
상승협동학,synergetics,
상승결합,synergic bonding,
상승작용,synergism,
상승효과,synergistic effect,
삭망월,synodic month,
합성,synthesis,
합성기,synthesizer, シンセサイザ?
"계, 체계",system,
원자 단위계,system of atomic units, 原子單位系
완전직교함수계,system of complete orthogonal function,
함수계,system of function,
지름길자리표계,system of geodesic coordinates, 測地線座標系
국제단위계,system of international unit,
질점계,system of material point,
"직교틀함수계, 직교규격함수계",system of orthonormal function,
"입자계, 질점계, 알갱이계",system of particles, 質點系
계통왜곡,systematic distortion,
계통오차,systematic error, 系統誤差
계통적반사,systematic reflection, 系統的同時反射
시게티 공식,Szigetti formula,
표,table,
타블로,tableau,
회전수재개,tachometer, 回轉計
타키온,tachyon, タキオン
올챙이 그림,tadpole diagram,
"표지, 꼬리표",tag,
표지분자,tagged molecule,
꼬리띠,tail band, テ?ルバンド
"꼬리보정, 꼬리수정, 꼬리고침",tail correction,
삼각형법,tail-to-tip method,
다까기-타우핀 방정식,Takagi-Taupin equation, 高木·ト?パンの式
토키,talkie,
탐-단코프 어림법,Tamm-Dancoff approximation, タム·ダンコフ近似
앞뒤,tandem,
탄뎀형 자기거울,tandem mirror, タンデムミラ?
앞뒤꼴,tandem type,
앞뒤꼴 밴 더 그라프 가속기,tandem Van de Graaff accelerator, タンデム型バンデグラ?フ加速器
"접선, 탄젠트, 닿이선",tangent,
탄젠트 검류계,tangent galvanometer,
"접평면, 닿이평면",tangent plane,
"접선방향, 닿이선방향",tangential,
"접선가속도, 닿이선가속도",tangential acceleration, 接線加速度
닿이 쌍갈림,tangential bifurcation,
"접선성분, 닿이선성분",tangential component,
"접선힘, 닿이선힘",tangential force, 接線力
"접선운동, 닿이선운동",tangential motion,
"접선응력, 닿이선응력",tangential stress, 接線應力
"접선속도, 닿이선속도",tangential velocity,
태니-폴디변환,Tani-Foldy transformation, 谷·フォルディ變換
빈 그릇 무게,tare,
"대상, 목표집단, 과녁",target, 標 的 / タ?ゲット
과녁 핵,target nucleus, 標的核
"과녁입자, 표적알갱이, 표적입자, 과녁알갱이",target particle,
호변이성,tautomerism, 互變異性
테일러 전개,Taylor expansion, テイラ?展開
테일러 흐름,Taylor flow, テイラ?の流れ
테일러 수,Taylor number, テイラ?數
테일러 급수,Taylor series, テイラ?級數
테일러의 실험,Taylor's experiment,テイラ?の??
"t 통로, t 채널",t-channel,tチャネル
티어링 불안정성,tearing instability, ティアリング不安定性
공학 단위계,technical system of units, 工學單位系
"기술, 수법, 기법",technique,
전보,telegram,
"전신기, 전신",telegraph,
전신방정식,telegraph equation,
원격측정,telemetering, 遠隔測定
"자료송신, 원격측정술",telemetry,
전화(기),telephone,
망원사진,telephotometry,
망원경,telescope, 望遠鏡
"망원수세개, 망원계수기",telescope counter,
텔레타이프,teletype,
텔레비젼,television,
텔레비젼 카메라,television camera,
텔렉스,telex,
텔러-리이브-사이먼 정리,Teller-Lieb-Simon theorem, ナフ?·リ?プ·サイモンの定理
티이엠 방식,TEM mode,
템킨 일정온도선,Temkin isotherm, テムキンの式
온도,temperature, 溫 度
온도곁수,temperature coefficient, 溫度係數
온도보정,temperature correction,
온도의존(성),temperature dependence,
"온도퍼짐산란, 온도퍼짐흩뜨림",temperature diffuse scattering,
온도 분산,temperature dispersion, 溫度分散
온도분포,temperature distribution, 溫度分布
온도효과,temperature effect,
온도인자,temperature factor,
"온도기울기, 온도물매",temperature gradient, 溫度勾配
온도 그린 함수,temperature Green function, 溫度グリ?ン關數
온도 뜀 방법,temperature jump method, 溫度ジャンプ法
온도제한 전류,temperature limited current, 溫度制限電流
온도내비침,temperature radiation,
온도눈금,temperature scale, 溫度目盛
온도변환기,temperature transducer, 感溫素子
온도뒤바뀜현상,temperature-inversion phenomenon,
"되담금, 벼림",tempering,
템플의 하한,Temple's lower bound, テンプルの下界
시간 결맞음,temporal coherence, 時間的コヒ?レンス
일시자석,temporary magnet,
"장력, 켕길힘, 인장력",tensile force,
장력 강도,tensile strength, 引長强さ
장력변형력,tensile stress, 引張應力
"장력계, 켕길힘재개",tensiometer,
"장력, 켕길힘",tension, 張 力
장력마당,tension field, 張力場
텐서,tensor, テンソル
텐서힘,tensor force, テンソル力
"텐서 서로작용, 텐서 상호작용",tensor interaction,
텐서연산자,tensor operator, テンソル演算子
텐서 곱,tensor product, テンソル積
항,term, 項
항 값,term value, 項 値
"단자, 끝머리",terminal, (1)端 子 (2)端 末
"종단속도, 끝 속도",terminal velocity, 終端速度
단자전압,terminal voltage,
"끝냄이, 종결인자",terminator,
지구적도,terrestrial equator,
지구본,terrestrial globe,
지구중력,terrestrial gravity,
"지구위도, 지구씨줄",terrestrial latitude,
"지구날줄, 지구경도",terrestrial longitude,
지(구)자기마당,terrestrial magnetic field,
지(구)자기선,terrestrial magnetic line,
지(구)자기,terrestrial magnetism,
지상망원경,terrestrial telescope,
지구조석,terrestrial tide,
테슬라<<단위>>,tesla, テスラ【磁束密度の單位】
테슬러의 변압기,Tesla's transformer,テスラ???器
시험체,test body,
"시험입자, 시험알갱이",test particle,
시험관,test tube,
시험알갱이 방법,test-particle method,
네겹고비,tetracritical,
정방결정,tetragonal crystal,
정방구조,tetragonal structure,
"정방정계, 정방결정계",tetragonal system, 正方晶系
사면체배위,tetrahedral coordination,
정사면체 분자,tetrahedral molecule, 正四面體分子
사면체 위치,tetrahedral site, 四面體位置
사면체대칭,tetrahedral symmetry,
사면체,tetrahedron,
"사극관, 사극진공관",tetrode, 四極管
경위의,theodolite, 經緯犧
정리,theorem, 定 理
평행축의 정리,theorem of parallel axis,
이론물리학,theoretical physics, 理論物理學
"이론, 학설",theory, 理 論
맥놀이의 이론,theory of beat, 熱 學
짝통로 이론,theory of coupled channels, チャネル結合理論
미분방정식이론,theory of differential equation,
"튐성이론, 탄성이론",theory of elasticity,
전자이론,theory of electron,
소립자 이론,theory of elementary particles, 素粒子論
오차이론,theory of errors, 誤差論
가상일의 이론,theory of fictitious work,
함수이론,theory of functions,
중력의 이론,theory of gravity, 重力理論
"무리이론, 군이론",theory of groups,
열이론,theory of heat,
정수론,theory of integers,
"측정이론, 재기이론",theory of measurement, 觀測の理論
"섭동이론, 건드림이론",theory of perturbation,
"소성이론, 빚음성이론",theory of plasticity,
퍼텐셜이론,theory of potential,
"상대성이론, 상대론",theory of relativity, 相對性理論
열 활성화,thermal activation, 熱活性化
열교란,thermal agitation,
열 기둥,thermal column, サ?マルコラム
"열전도, 열흘려보냄",thermal conduction, 熱傳導
열전도도,thermal conductivity, 熱傳導率
열전도체,thermal conductor,
"열엇흐름, 열대류",thermal convection,
열깨짐방법,thermal cracking method, 熱分解法
열분해,thermal decomposition,
열 탈착,thermal desorption, 熱脫離
열탈착법,thermal desorption method, 昇溫脫離法
"열퍼짐흩뜨림, 열퍼짐산란",thermal diffuse scattering, 熱散漫散亂
열퍼짐율,thermal diffusibility,
열퍼짐,thermal diffusion, 熱擴散
열퍼짐도,thermal diffusivity, 熱擴散率
열늘어남재개,thermal dilatometer, 熱膨張計
열해리,thermal dissociation, 熱解離
열효율,thermal efficiency, 熱 率
열전자내쏘기,thermal electron emission,
열내쏘기,thermal emission,
열 적도,thermal equator,
열비김상태,thermal equilibrium state,
"열당량, 열맞먹이",thermal equivalent,
열들뜸,thermal excitation, 熱勵起
"열팽창, 열불음",thermal expansion, 熱膨張
"열불음 공과 가락지, 금속구 열팽창 실험기",thermal expansion ball and ring,
열불음곁수,thermal expansion coefficient,
열폭발,thermal explosion,
열적피로,thermal fatigue, 熱疲勞
열요동,thermal fluctuation,
열적 불안정성,thermal instability, 對流不安定
단열재,thermal insulator,
"열서로작용, 열상호작용",thermal interaction,
열 이온화,thermal ionization, 熱電離
"열 이성체화, 열 다른성질체화",thermal isomerization,
열 렌즈 효과,thermal lens effect, 熱レンズ ?果
열루미네슨스,thermal luminescence,
열운동,thermal motion, 熱運動
열중성자,thermal neutron, 熱中性子
열중성자 자름넓이,thermal neutron cross section,
열중성자(핵)쪼개짐,thermal neutron fission,
열잡음,thermal noise, 熱雜音
열핵반응로,thermal nuclear reactor,
열조임,thermal pinch, 熱ピンチ
화력발전,thermal power generation,
화력발전소,thermal power station,
"열복사, 열내비침",thermal radiation, 熱放射
열중성자로,thermal reactor, 熱中性子爐
열적충격,thermal shock, 熱衝擊
열분류기,thermal shunt,
열 스파이크,thermal spike, 熱スパイク
열적변형력,thermal stress, 熱應力
열적 환경,thermal surrounding,
열증발,thermal transpiration, 熱遷移
열(중성자) 이용인자,thermal utilization factor,
열속도,thermal velocity, 熱連動速度
열떨기,thermal vibration, 熱振動
온도파,thermal wave, 溫度波
열이온,thermion,
열음극,thermionic cathode,
열전자전도,thermionic conduction,
"열전자 흐름, 열전자 전류",thermionic current,
열전자 효과,thermionic effect,
열전자 내쏘개,thermionic emitter,
열전자 고르개,thermionic rectifier,
열전자 관,thermionic tube,
열전자 전압계,thermionic voltmeter,
서미스터,thermistor, サ?ミスタ?
열경화성 수지,thermo setting plastic,
열화학 방정식,thermochemical equation, 熱化學方程式
열화학,thermochemistry,
열색깔성,thermochromism, サ?モクロミズム
열색깔,thermocolor, サ?モカラ?
열전(기)쌍,thermocouple, 熱電對
열전기 게이지,thermocouple gauge, 熱電對眞空計
"열전류 방사선량계, 열전류 내비침재개",thermocurrent radiometer,
열역학의,thermodynamic,
열역학적 냉각기,thermodynamic cooler,
"열역학좌표, 열역학자리표",thermodynamic coordinate,
열역학 고비마당,thermodynamic critical field,
열역학도함수,thermodynamic derivative,
열역학비김,thermodynamic equilibrium,
열역학함수,thermodynamic function, 熱力學關數
열역학적 극한,thermodynamic limit,
열역학포텐셜,thermodynamic potential, 熱力學ポテンシャル
열역학확률,thermodynamic probability,
열역학량,thermodynamic quantity,
열역학적 되짚기성,thermodynamic reversibility,
열역학적 안정성,thermodynamic stability, 熱力學的安定性
열역학적 상태,thermodynamic state,
열역학(적) 계,thermodynamic system,
열역학적 온도눈금,thermodynamic temperature scale,
열역학변수,thermodynamic variable,
열역학 특성 함수,thermodynamical characteristic function, 熱力學特性關數
열역학 변수,thermodynamical variable, 熱力學變數
열역학 가중값,thermodynamical weight, 熱力學的重み
열역학,thermodynamics, 熱力學
열튐성 효과,thermoelastic effect,
열튐성마르텐사이트,thermoelastic martensite, 熱彈性マルテンサイト
열튐성 파동,thermoelastic wave, 熱彈性波
열전 냉각,thermoelectric cooling, 熱電冷却
열전쌍,thermoelectric couple,
열전류,thermoelectric current, 熱電流
열전기도표,thermoelectric diagram, 熱電圖
열전효과,thermoelectric effect, 熱電 ?果
열전 요소,thermoelectric element, 熱電素子
열전현상,thermoelectric phenomenon, 熱電氣現象
열전일률,thermoelectric power, 熱電能
열전기 온도계,thermoelectric thermometer, 熱電溫度計
열전 변환기,thermoelectric transducer, 熱電變換素子
열전기,thermoelectricity,
열기전력,thermoelectromotive force, 熱起電力 / 熱起電壓
열마당 동역학,thermofield dynamics, 有限溫度の場の量子論
열(핵)융합,thermofusion,
열전류검류계,thermogalvanometer,
열 분석도,thermogram,
온도기록(법),thermography, サ?モグラフィ?
열찬빛쬔양재개,thermoluminescence dosimeter,
가열분해반응,thermolysis,
열자기 효과,thermomagnetic effect, 熱流磁氣 ?果
"온도재개, 온도계",thermometer, 溫度計
"측온성질, 온도재기성질",thermometric property,
"측온물질, 온도재기 물질",thermometric substance,
열 적정,thermometric titration,
온도측정법,thermometry,
열핵 에너지,thermonuclear energy,
열핵반응,thermonuclear reaction, 熱核反應
열소성,thermoplastic, 熱可塑性
열빚음 수지,thermoplastic resin, 熱可塑性樹脂
"열소성, 열빚음성",thermoplasticity,
"열소성 수지, 열 빚음성수지",thermoplastics,
열전계전기,thermorelay,
열잔류 자기화,thermoremanent magnetization, 熱殘留磁化
열민감(한),thermoscopic,
"항온기, 온도조절기",thermostat, サ?モスタット
온도 유지 조건,thermostat condition,
항온조,thermostatic bath, 恒溫槽
열 액정,thermotropic liquid crystal, サ?モトロピソク液
열상,thermotropic phase,
세타 핀치,theta pinch,
두꺼운 렌즈,thick lens, 厚?肉]レンズ
두께선,thickness contours, 等厚?涉にま
"얇은 막, 박막",thin film, 薄 膜
박막 초전도체,thin film superconductor, 超傳導薄膜
"광학 얇은막, 광학 박막",thin films for optics, 光學薄膜
얇은 렌즈,thin lens, 薄肉レンズ
얇은 프리즘,thin prism,
얇은막 트랜지스터,thin-film transistor, 薄膜トランジスタ?
"열역학 제삼법칙, 열역학 셋째법칙",third law of thermodynamics, 熱力學第三法則
제삼종의 영구기관,third perpetual mobile,
"세째소리, 제삼종 소리",third sound,
제삼차 튐성상수,third-order elastic constant,
토마스 사이클로트론,Thomas cyclotron, ト?マスサイクロト
토마스 인자,Thomas factor, ト?マス閃子-
토마스 옆돌기,Thomas precession, ト?マス歲芹
토마스 항,Thomas term, ト?マズ項
토마스-페르미 분자,Thomas-Fermi model, ト?マス?フェルミ模型
토마스-페르미 가리기,Thomas-Fermi screening, ト?マス?フェルミ遮蔽
토마스-페르미 통계모형,Thomas-Fermi statistical model,
토마스-레이-쿤 합규칙,Thomas-Reiche-Kuhn sum rule, ト?マス?ライヒェ?ク?ンの和貝11
톰슨 원자,Thomson atom,
톰슨 효과,Thomson effect,
톰슨 포물선방법,Thomson parabola method,
톰슨 원리,Thomson principle, トムソンの原理
톰슨 법칙,Thomson rule, トムソンの法則
"톰슨 흩뜨림, 톰슨 산란",Thomson scattering, トムソン散亂
톰슨의 원자모형,Thomson's atomic model,
톰슨의 곁수,Thomson's coefficient,
톰슨의 실험,Thomson's experiment,
토륨 계열,thorium series, トリウム系列
"생각실험, 사고실험",thought experiment, 思考實驗
실만듬성,thread forming property,
세물체충돌,three body collision,
지자기의 삼요소,three components of geomagnetic field,
삼차원공간,three dimensional space,
"세전자 결합, 세전자 묶음",three electron bond,
소리의 삼요소,three elements of sound,
셋 제이 기호,three j symbol,
삼원색<<물감의>>,three primary colors,
빛의 삼원색,three primary light,
세물체 힘,three-body force, 三?力
"세물체 서로작용, 세물체상호작용",three-body interaction,
세물체 문제,three-body problem, 三體問題
삼차원,three-dimension,
삼차원 홀로그램,three-dimensional hologram, 三次元ホログラム
세준위 메이저,three-level maser, 三準位メ?ザ?
세 모습,three-phase, 二 拍
삼상교류,three-phase current,
"세소리알 서로작용, 삼포논 상호작용",three-phonon interaction,
세눈금인자 보편성,three-scale-factor universality,
문턱,threshold,
문턱 조건,threshold condition, しきい條件
문턱 검출기,threshold detector, しきい檢出器
문턱쬔양,threshold dose, しきい線量
문턱 에너지,threshold energy, しきい値エネルギ?
"문턱떨기수, 문턱진동수",threshold frequency,
문턱논리,threshold logic, しきい値論理
가청도의 문턱,threshold of audibility, 最小可聽値
문턱값,threshold value,
문턱파길이,threshold wavelength,
배기량,throughput, (1)エタンデュ(スル?プット) (2)排氣量
작업량 이득,throughput advantage, スル?プットの利得
추력,thrust, (1)推 力(2)スラスト
싸이라트론,thyratron, サイラトロン
싸이리스터,thyristor, サイリスタ-
"조석(의), 미세기",tidal,
"미세기힘, 조석힘, 기조력",tidal force,
조석쓸림,tidal friction, 潮汐摩擦
조석이론,tidal theory,
"조석파동, 미세기 파동",tidal wave,
조석,tide, 潮 汐
"밀접결합어림, 꽉묶음어림",tight-binding approximation,
경사경계,tilt boundary, 傾角粒界
"음색, 소리깔",timbre, 音 色
"시각, 배, 시간",time, (1)時 間(2)時 刻
시간 평균,time average, 時間平均
시간상수,time constant, 時定數
시간 상관 함수,time correlation function, 時間相關關數
시간의존성,time dependence,
시간늘어남,time dilation,
시간 변화,time evolution,
"시간, 시간간격",time interval,
"시간역전, 시간뒤집힘",time inversion,
풀림시간,time of relaxation,
"시간 반사, 시간되비침",time reflection, 時間反轉
시간분해,time resolution, 時間分解能
시간되짚기,time reversal, 時間反轉不變性
시간 계열,time series, 時系列
시계열 분석,time series analysis,
"시보, 시간신호",time signal,
시간 계단,time step,
시간 대,time zone,
시간 늦츰 끼워넣기 방법,time-delay embedding method,
"시간 달림, 시간의존성",time-dependence, 時間依存性
"시간무관한, 민시간",time-independent,
"시간늦음, 시간지연",time-lag, 時間遲れ
시간꼴,time-like,時間的
시간꼴 간격,time-like interval,
시간순서곱,time-ordered product, 時間順序積
시간분해 빛띠,time-resolved spectrum, 時間分解スペクトル
시간나눔,time-sharing,
시간나눔 처리,time-sharing operation,
시간나눔 체계,time-sharing system,
체세포당량재개,tissue-equivalent detector, 組織等價檢出器
체세포당량물질,tissue-equivalent material, 組織等價物質
적정,titration, 滴 定
토다 살창,Toda lattice, 戶田格子
퇴플러 펌프,Toepler pump, テプラ?ポンプ
토카막,tokamak,
토란스키의 방법,Tolansky's method, トランスキ?の方法
허용새는양,tolerable leak, 許容リ?ク量
도미마쯔-사또 풀이,Tomimatsu-Sato solution, 富松·佐藤解
토모나가-러틴저 효과,Tomonaga-Luttinger model, 朝永·ラッティンジャ?模型
톰즈 효과,Toms effect, トムズ ?果
톤,ton, ト ン【質量の單位】
"소리깔, 음색",tone, (1)音 色 (2)樂 音
소리깔,tone color,
음색,tone colour,
음의 높낮이,tone pitch, 音の高さ
으뜸 음,tonic, 主 音
"연장, 공구",tool,
팽이,top, こ ま
꼭대기쿼크,top quark,
"위상무리, 위상군",topological group, 位相群
위상수학적 불변(성),topological invariance,
위상 이성질체,topological isomer,
위상다양체,topological manifold,
"위상사상, 위상본뜨기",topological mapping,
위상 양자수,topological quantum number, トポロジ?的量子數
위상수학적 특이성,topological singularity,
위상^(수학),topology,
토치 방전,torch discharge, 火炎放電
토로이드,toroid,
토로이드 마당,toroidal field,
톨로이달 자기마당,toroidal magnetic field, 環狀磁場 / トロイダル磁場
돌림힘,torque, トルク
돌림힘 자기 재개,torque magnetometer, 磁氣トルク計
돌림힘재개,torque meter, トルク계
토르<<압력의 단위>>,torr, ト ル【氣壓の單位】
토리첼리<<단위>>,torricelli,
토리첼리 진공,Torricelli vacuum, トリチェリの眞空
토리첼리의 진공,Torricelli's vacuum,
토사트론,torsatron, トルサトロン
비틀림,torsion, (1)ねじれ率 (2)ねじり
